url,slug,intent,tab,checked_at,gsc_index_status,gsc_last_crawl,notes
https://www.gateo.kr/place/ushuaia/gallery,ushuaia,gallery,gallery,,,,tier1
https://www.gateo.kr/place/ushuaia/planner,ushuaia,travel,planner,,,,tier1
https://www.gateo.kr/place/amsterdam/gallery,amsterdam,gallery,gallery,,,,tier1
https://www.gateo.kr/place/amsterdam/planner,amsterdam,travel,planner,,,,tier1
https://www.gateo.kr/place/chiang-mai/gallery,chiang-mai,gallery,gallery,,,,tier1
https://www.gateo.kr/place/chiang-mai/planner,chiang-mai,travel,planner,,,,tier1
https://www.gateo.kr/place/machu-picchu/gallery,machu-picchu,gallery,gallery,,,,tier1
https://www.gateo.kr/place/machu-picchu/planner,machu-picchu,travel,planner,,,,tier1
https://www.gateo.kr/place/san-francisco/gallery,san-francisco,gallery,gallery,,,,tier1
https://www.gateo.kr/place/san-francisco/planner,san-francisco,travel,planner,,,,tier1
https://www.gateo.kr/place/florence/gallery,florence,gallery,gallery,,,,tier1
https://www.gateo.kr/place/florence/planner,florence,travel,planner,,,,tier1
https://www.gateo.kr/place/honolulu/gallery,honolulu,gallery,gallery,,,,tier1
https://www.gateo.kr/place/honolulu/planner,honolulu,travel,planner,,,,tier1
https://www.gateo.kr/place/las-vegas/gallery,las-vegas,gallery,gallery,,,,tier1
https://www.gateo.kr/place/las-vegas/planner,las-vegas,travel,planner,,,,tier1
https://www.gateo.kr/place/athens/gallery,athens,gallery,gallery,,,,tier1
https://www.gateo.kr/place/athens/planner,athens,travel,planner,,,,tier1
https://www.gateo.kr/place/buenos-aires/gallery,buenos-aires,gallery,gallery,,,,tier1
https://www.gateo.kr/place/buenos-aires/planner,buenos-aires,travel,planner,,,,tier1
https://www.gateo.kr/place/cape-town/gallery,cape-town,gallery,gallery,,,,tier1
https://www.gateo.kr/place/cape-town/planner,cape-town,travel,planner,,,,tier1
https://www.gateo.kr/place/giza-pyramids/gallery,giza-pyramids,gallery,gallery,,,,tier1
https://www.gateo.kr/place/giza-pyramids/planner,giza-pyramids,travel,planner,,,,tier1
https://www.gateo.kr/place/macau/gallery,macau,gallery,gallery,,,,tier1
https://www.gateo.kr/place/macau/planner,macau,travel,planner,,,,tier1
https://www.gateo.kr/place/melbourne/gallery,melbourne,gallery,gallery,,,,tier1
https://www.gateo.kr/place/melbourne/planner,melbourne,travel,planner,,,,tier1
https://www.gateo.kr/place/new-york/gallery,new-york,gallery,gallery,,,,tier1
https://www.gateo.kr/place/new-york/planner,new-york,travel,planner,,,,tier1
https://www.gateo.kr/place/berlin/gallery,berlin,gallery,gallery,,,,tier1
https://www.gateo.kr/place/berlin/planner,berlin,travel,planner,,,,tier1
https://www.gateo.kr/place/chicago/gallery,chicago,gallery,gallery,,,,tier1
https://www.gateo.kr/place/chicago/planner,chicago,travel,planner,,,,tier1
https://www.gateo.kr/place/tokyo/gallery,tokyo,gallery,gallery,,,,tier1
https://www.gateo.kr/place/tokyo/planner,tokyo,travel,planner,,,,tier1
https://www.gateo.kr/place/dubrovnik/gallery,dubrovnik,gallery,gallery,,,,tier1
https://www.gateo.kr/place/dubrovnik/planner,dubrovnik,travel,planner,,,,tier1
https://www.gateo.kr/place/moscow/gallery,moscow,gallery,gallery,,,,tier1
https://www.gateo.kr/place/moscow/planner,moscow,travel,planner,,,,tier1
https://www.gateo.kr/place/petra/gallery,petra,gallery,gallery,,,,tier1
https://www.gateo.kr/place/petra/planner,petra,travel,planner,,,,tier1
https://www.gateo.kr/place/vienna/gallery,vienna,gallery,gallery,,,,tier1
https://www.gateo.kr/place/vienna/planner,vienna,travel,planner,,,,tier1
https://www.gateo.kr/place/istanbul/gallery,istanbul,gallery,gallery,,,,tier1
https://www.gateo.kr/place/istanbul/planner,istanbul,travel,planner,,,,tier1
https://www.gateo.kr/place/jerusalem/gallery,jerusalem,gallery,gallery,,,,tier1
https://www.gateo.kr/place/jerusalem/planner,jerusalem,travel,planner,,,,tier1
https://www.gateo.kr/place/london/gallery,london,gallery,gallery,,,,tier1
https://www.gateo.kr/place/london/planner,london,travel,planner,,,,tier1
https://www.gateo.kr/place/manila/gallery,manila,gallery,gallery,,,,tier1
https://www.gateo.kr/place/manila/planner,manila,travel,planner,,,,tier1
https://www.gateo.kr/place/nairobi/gallery,nairobi,gallery,gallery,,,,tier1
https://www.gateo.kr/place/nairobi/planner,nairobi,travel,planner,,,,tier1
https://www.gateo.kr/place/reykjavik/gallery,reykjavik,gallery,gallery,,,,tier1
https://www.gateo.kr/place/reykjavik/planner,reykjavik,travel,planner,,,,tier1
https://www.gateo.kr/place/rome/gallery,rome,gallery,gallery,,,,tier1
https://www.gateo.kr/place/rome/planner,rome,travel,planner,,,,tier1
https://www.gateo.kr/place/singapore/gallery,singapore,gallery,gallery,,,,tier1
https://www.gateo.kr/place/singapore/planner,singapore,travel,planner,,,,tier1
https://www.gateo.kr/place/taipei/gallery,taipei,gallery,gallery,,,,tier1
https://www.gateo.kr/place/taipei/planner,taipei,travel,planner,,,,tier1
https://www.gateo.kr/place/delhi/gallery,delhi,gallery,gallery,,,,tier1
https://www.gateo.kr/place/delhi/planner,delhi,travel,planner,,,,tier1
https://www.gateo.kr/place/toronto/gallery,toronto,gallery,gallery,,,,tier1
https://www.gateo.kr/place/toronto/planner,toronto,travel,planner,,,,tier1
https://www.gateo.kr/place/vancouver/gallery,vancouver,gallery,gallery,,,,tier1
https://www.gateo.kr/place/vancouver/planner,vancouver,travel,planner,,,,tier1
https://www.gateo.kr/place/edinburgh/gallery,edinburgh,gallery,gallery,,,,tier1
https://www.gateo.kr/place/edinburgh/planner,edinburgh,travel,planner,,,,tier1
https://www.gateo.kr/place/auckland/gallery,auckland,gallery,gallery,,,,tier1
https://www.gateo.kr/place/auckland/planner,auckland,travel,planner,,,,tier1
https://www.gateo.kr/place/copenhagen/gallery,copenhagen,gallery,gallery,,,,tier1
https://www.gateo.kr/place/copenhagen/planner,copenhagen,travel,planner,,,,tier1
https://www.gateo.kr/place/helsinki/gallery,helsinki,gallery,gallery,,,,tier1
https://www.gateo.kr/place/helsinki/planner,helsinki,travel,planner,,,,tier1
https://www.gateo.kr/place/san-diego/gallery,san-diego,gallery,gallery,,,,tier1
https://www.gateo.kr/place/san-diego/planner,san-diego,travel,planner,,,,tier1
https://www.gateo.kr/place/dublin/gallery,dublin,gallery,gallery,,,,tier1
https://www.gateo.kr/place/dublin/planner,dublin,travel,planner,,,,tier1
https://www.gateo.kr/place/brisbane/gallery,brisbane,gallery,gallery,,,,tier1
https://www.gateo.kr/place/brisbane/planner,brisbane,travel,planner,,,,tier1
https://www.gateo.kr/place/stockholm/gallery,stockholm,gallery,gallery,,,,tier1
https://www.gateo.kr/place/stockholm/planner,stockholm,travel,planner,,,,tier1
https://www.gateo.kr/place/kuala-lumpur/gallery,kuala-lumpur,gallery,gallery,,,,tier1
https://www.gateo.kr/place/kuala-lumpur/planner,kuala-lumpur,travel,planner,,,,tier1
https://www.gateo.kr/place/warsaw/gallery,warsaw,gallery,gallery,,,,tier1
https://www.gateo.kr/place/warsaw/planner,warsaw,travel,planner,,,,tier1
https://www.gateo.kr/place/hanoi/gallery,hanoi,gallery,gallery,,,,tier1
https://www.gateo.kr/place/hanoi/planner,hanoi,travel,planner,,,,tier1
https://www.gateo.kr/place/jakarta/gallery,jakarta,gallery,gallery,,,,tier1
https://www.gateo.kr/place/jakarta/planner,jakarta,travel,planner,,,,tier1
https://www.gateo.kr/place/philadelphia/gallery,philadelphia,gallery,gallery,,,,tier1
https://www.gateo.kr/place/philadelphia/planner,philadelphia,travel,planner,,,,tier1
https://www.gateo.kr/place/seattle/gallery,seattle,gallery,gallery,,,,tier1
https://www.gateo.kr/place/seattle/planner,seattle,travel,planner,,,,tier1
https://www.gateo.kr/place/taj-mahal/gallery,taj-mahal,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/taj-mahal/planner,taj-mahal,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/grand-canyon/gallery,grand-canyon,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/grand-canyon/planner,grand-canyon,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/great-wall/gallery,great-wall,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/great-wall/planner,great-wall,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/phuket/gallery,phuket,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/phuket/planner,phuket,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/forbidden-city/gallery,forbidden-city,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/forbidden-city/planner,forbidden-city,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/fukuoka/gallery,fukuoka,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/fukuoka/planner,fukuoka,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/boracay/gallery,boracay,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/boracay/planner,boracay,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/yosemite/gallery,yosemite,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/yosemite/planner,yosemite,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/terracotta-army/gallery,terracotta-army,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/terracotta-army/planner,terracotta-army,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/everest-base-camp/gallery,everest-base-camp,gallery,gallery,,,,tier2-pop80-sample
https://www.gateo.kr/place/everest-base-camp/planner,everest-base-camp,travel,planner,,,,tier2-pop80-sample
https://www.gateo.kr/place/hamburg/gallery?crawler=1,hamburg,gallery,gallery,,,,tier2-crawler-view-source
https://www.gateo.kr/place/hamburg/wiki?crawler=1,hamburg,wiki,wiki,,,,wiki-crawler
https://www.gateo.kr/place/bohol/gallery?crawler=1,bohol,gallery,gallery,,,,tier2-crawler-view-source
https://www.gateo.kr/place/bohol/wiki?crawler=1,bohol,wiki,wiki,,,,wiki-crawler
https://www.gateo.kr/place/seychelles/gallery?crawler=1,seychelles,gallery,gallery,,,,tier2-crawler-view-source
https://www.gateo.kr/place/seychelles/wiki?crawler=1,seychelles,wiki,wiki,,,,wiki-crawler
https://www.gateo.kr/place/phuket/gallery?crawler=1,phuket,gallery,gallery,,,,tier2-crawler-view-source
https://www.gateo.kr/place/phuket/wiki?crawler=1,phuket,wiki,wiki,,,,wiki-crawler
https://www.gateo.kr/?crawler=1,,home,,,,,hub-crawler
https://www.gateo.kr/korea?crawler=1,,korea,,,,,hub-crawler
https://www.gateo.kr/korea/theme/scenic?crawler=1,,korea-scenic,,,,,hub-crawler-#15
https://www.gateo.kr/explore?crawler=1,,explore,,,,,hub-crawler-#15
https://www.gateo.kr/explore/asia/paradise?crawler=1,,explore-category,,,,,explore-#18
https://www.gateo.kr/explore/europe/culture?lang=en,,explore-category,,,,,explore-en-#18
https://www.gateo.kr/blog?crawler=1,,blog,,,,,logbook-#16
https://www.gateo.kr/blog/curation?crawler=1,,curation,,,,,curation-#16
https://www.gateo.kr/place/seoul/gallery?lang=en,seoul,gallery,gallery,,,,tier2-pop70-en-batch4
https://www.gateo.kr/place/bohol/gallery?lang=en,bohol,gallery,gallery,,,,tier2-pop70-en-batch4
https://www.gateo.kr/place/samoa/gallery?lang=en,samoa,gallery,gallery,,,,tier2-pop70-en-batch4
https://www.gateo.kr/place/iceland/gallery?lang=en,iceland,gallery,gallery,,,,tier2-pop70-en-batch4
https://www.gateo.kr/place/palawan/gallery?lang=en,palawan,gallery,gallery,,,,tier2-pop70-en-batch4
https://www.gateo.kr/explore/europe/culture?crawler=1,,explore-category,,,,,explore-ssot-europe/culture
https://www.gateo.kr/explore/north_america/urban?crawler=1,,explore-category,,,,,explore-ssot-north_america/urban
https://www.gateo.kr/place/tokyo/planner?crawler=1,tokyo,flight-route,planner,,,,ICN→HND-#14
https://www.gateo.kr/place/phuket/planner?crawler=1,phuket,flight-route,planner,,,,ICN→HKT-#14
